auditory_part_id,total_tone_rts,total_syllable_rts,total_auditory_rts,random_syllable_mean_rt,random_tone_mean_rt,structured_syllable_mean_rt,structured_tone_mean_rt,random_ssl_rt_slope,random_tsl_rt_slope,structured_ssl_rt_slope,structured_tsl_rt_slope,syllable_mean_rt_difference,tone_mean_rt_difference,ssl_rt_slope_difference,tsl_rt_slope_difference
blast_a_001,95,96,191,736.0165458,322.4291202,703.748695,619.2008351,-3.852,17.525,4.545,-10.11,-0.043841203,0.920424665,-2.179906542,-1.576890157
blast_a_002,97,96,193,644.8273997,463.8545061,544.236896,462.2236449,-1.152,-1.818,1.955,-4.449,-0.155996014,-0.003515889,-2.697048611,1.447194719
blast_a_004,97,96,193,690.8507525,486.1455786,739.3788442,298.3426748,1.683,3.62,-0.253,1.96,0.070243959,-0.386310011,-1.150326797,-0.458563536
blast_a_005,96,96,192,693.1050829,286.0420224,640.5552399,192.0038627,-1.09,9.014,-0.158,10.604,-0.075818003,-0.328756449,-0.855045872,0.176392279
blast_a_006,96,96,192,671.2681272,336.1010216,628.2365351,279.6842497,-1.537,9.179,-2.181,4.717,-0.064104924,-0.167856592,0.418998048,-0.486109598
blast_a_007,96,96,192,638.7343656,482.677862,630.7584743,576.8204788,1.108,-1.796,-0.826,0.851,-0.012487024,0.195042334,-1.745487365,-1.473830735
blast_a_008,72,72,144,667.3406752,709.4400206,589.6316207,668.63831,-0.954,-6.01,3.274,2.133,-0.116445854,-0.057512558,-4.431865828,-1.354908486
blast_a_010,96,96,192,726.7454442,613.2843689,685.4118653,667.8426241,3.109,-0.033,1.01,0.926,-0.056874906,0.088960779,-0.6751367,-29.06060606
blast_a_011,96,96,192,752.6669861,641.4145976,332.8786197,663.6898755,3.103,1.656,17.589,-0.885,-0.557734528,0.034728361,4.668385433,-1.53442029
blast_a_012,72,72,144,737.6964021,390.2610393,673.777265,610.2614875,1.273,14.932,-0.373,19.605,-0.086646942,0.563726394,-1.293008641,0.312952049
blast_a_013,96,96,192,702.5243067,25.55338768,670.0365236,95.54857928,6.378,7.996,-1.047,12.696,-0.046244355,2.739174644,-1.164158043,0.587793897
blast_a_014,96,96,192,721.9315049,569.7382807,678.6134524,512.7180242,1.707,7.277,3.704,-1.043,-0.060002995,-0.100081491,1.169888694,-1.143328295
blast_a_015,96,96,192,718.7589371,201.2875047,634.746602,266.2913057,2.715,12.857,5.942,-5.32,-0.116885274,0.322940071,1.188581952,-1.413782375
blast_a_017,96,96,192,714.8803561,401.5987337,780.345598,614.1466193,-0.563,-0.438,1.335,2.129,0.091575103,0.529254372,-3.371225577,-5.860730594
blast_a_018,96,96,192,675.6410355,328.8924872,684.7657631,575.7366389,0.253,3.899,2.597,-1.954,0.013505289,0.750531439,9.264822134,-1.501154142
blast_a_020,96,96,192,659.0915148,615.92912,656.9476867,613.5075133,1.493,-0.309,-0.603,1.144,-0.003252702,-0.003931632,-1.403884796,-4.702265372
blast_a_021,96,96,192,655.0648688,384.9500853,643.9309356,465.7411766,-0.151,-7.481,-1.435,-3.914,-0.016996688,0.2098742,8.503311258,-0.476807913
blast_a_022,96,96,192,524.6745243,259.010958,458.8633735,251.5521062,0.069,-0.537,-0.198,-2.386,-0.125432335,-0.028797437,-3.869565217,3.44320298
blast_a_023,96,96,192,736.6971423,406.7157151,-163.8908113,332.5682926,-0.239,1.092,-0.779,-10.318,-1.222467011,-0.182307739,2.259414226,-10.44871795
blast_a_024,96,96,192,711.2189272,478.163622,718.2291674,258.7671823,-0.861,3.101,-1.997,-9.015,0.009856656,-0.458831307,1.319396051,-3.907126733
blast_a_025,96,96,192,712.0107461,143.2619438,645.2464671,304.729044,-2.681,1.758,-2.104,2.236,-0.093768639,1.127076011,-0.215218202,0.271899886
blast_a_026,48,48,96,760.5638976,184.7695076,461.140566,380.994771,-0.5,3.272,-3.569,-18.72,-0.393685964,1.062000251,6.138,-6.721271394
blast_a_027,96,96,192,712.504786,484.9217635,688.2363269,384.5148496,-2.736,2.932,-0.973,2.792,-0.034060766,-0.207057966,-0.644371345,-0.047748977
blast_a_029,96,96,192,713.4957928,748.244753,647.285083,270.3651373,0.574,-6.671,0.178,7.756,-0.092797618,-0.638667513,-0.68989547,-2.162644281
blast_a_032,96,96,192,555.9391663,336.4016679,438.7528508,454.5341951,-3.317,8.767,11.54,-4.88,-0.210789818,0.351165106,-4.479047332,-1.556632828
blast_a_035,96,96,192,625.1423272,542.6469086,552.2437282,450.3133924,0.106,1.549,-2.767,0.543,-0.116611203,-0.170153952,-27.10377358,-0.649451259
blast_a_038,96,96,192,610.1445131,541.6002495,549.3515536,483.6644005,-1.432,-2.668,-2.706,-2.11,-0.099636985,-0.106971607,0.889664804,-0.209145427
blast_a_039,96,96,192,608.5286339,392.495608,449.1019772,253.1667811,2.783,-7.748,2.001,-4.485,-0.261987108,-0.354981875,-0.280991736,-0.42114094
blast_a_044,96,96,192,577.9964937,236.6776053,613.1918835,195.5124415,2.479,-2.005,-0.819,17.42,0.060892047,-0.173929273,-1.330375151,-9.688279302